site_id,latitude,longitude,address,city,state,zip_code,locality_type,landmark,num_optical_stores_within_1km,num_eye_clinics_within_1km,distance_to_nearest_optical_store_km,distance_to_nearest_mall_km,distance_to_public_transport_km,num_retail_shops_within_1km,num_restaurants_within_1km,estimated_daily_foot_traffic,vehicular_traffic_count,property_type,site_area_sqft,asking_rent_per_sqft_inr,floor_level,feasibility_score
dc937a14-9b35-4f31-a363-6ce1e73f8bdd,19.0308262,73.0198537,"Ring Road 5, Nerul Village, Seawoods East, Navi Mumbai, Thane Taluka, Thane, Maharashtra, 400706, India",Navi Mumbai,Maharashtra,400706.0,Urban,"Raj Hospital, Mumbai",2,0,0.506,0.714,0.169,52,13,135,100,commercial,1200,45,Ground,0.691
d0b101b4-25d2-4291-80b4-420f1537e2d4,12.9502161,77.7156043,"Shivaganga Trinity Apartment, #15, Sai Baba Temple Road, Munekolala, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",Bengaluru,Karnataka,560037.0,Urban,Vibgyor High School,2,0,0.466,0.85,0.634,122,35,319,0,commercial,1200,45,Ground,0.677
b194f67b-6b6b-4f82-9cd8-472bbb2efde6,25.6264954,85.1043965,"VIP Road, Patna, Patna Rural, Patna, Bihar, 800001, India",Patna,Bihar,800001.0,Urban,Chand Memorial Hospital,1,0,0.342,0.86,0.319,60,9,143,300,commercial,1200,45,Ground,0.667
3cc3df75-6cd9-46e1-b24b-21ed1d069f27,12.996954,77.5714083,"Malleshwaram Circle, Sampige Road, Valluvarpuram, Malleswaram, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560003, India",Bengaluru,Karnataka,560003.0,Urban,Baptist,9,0,0.138,0.456,0.012,304,52,717,1150,commercial,1200,45,Ground,0.662
bf1b58ee-372d-493e-8937-52ccab23cae2,13.0039211,77.5712476,"JP Royale, 218, Sampige Road, Vyalikaval, Malleswaram, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560003, India",Bengaluru,Karnataka,560003.0,Urban,Manyavar Mohey,7,0,0.041,0.223,0.114,228,63,587,150,commercial,1200,45,Ground,0.636
f13f0954-b5db-4f90-a5cd-24dcc2d9dc22,12.9767936,77.590082,"Doctor B R Ambedkar Veedhi, Fair Field Layout, Gandhinagar, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",Bengaluru,Karnataka,560001.0,Urban,D: Cubbon Park/RBI Side,0,0,1.183,0.805,0.047,49,26,155,450,commercial,1200,45,Ground,0.59
9ac2634b-8ed5-4441-8f51-4cb7d03ea06e,13.0836939,80.270186,"KFC, Rama Pillai Street, Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India",Chennai,Tamil Nadu,600001.0,Urban,Lily Pond Shopping Complex,0,0,1.269,0.261,0.324,23,22,95,550,commercial,1200,45,Ground,0.578
e844bfe4-8439-40e3-b8c4-a85d16dea86e,12.9240113,77.6530982,"Sarjapur Road, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560102, India",Bengaluru,Karnataka,560102.0,Urban,Welnext,7,0,0.304,2.431,0.167,164,28,389,1000,commercial,1200,45,Ground,0.571
a3c82f5d-7b58-4f7a-9069-e11cd9f9ab54,22.7203616,75.8681996,"Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",Indore,Madhya Pradesh,452001.0,Urban,Central Mall,0,0,1.996,0.419,0.328,33,8,87,300,commercial,1200,45,Ground,0.564
aa28e10c-f417-4b9a-b22b-7e0d66e4b55c,12.8715158,74.8455636,"Light House Hill Road, Dongerkeri, Mallikatte, Mangaluru, Mangaluru taluk, Dakshina Kannada, Karnataka, 575001, India",Mangaluru,Karnataka,575001.0,Urban,City Centre Mall,0,0,9999.0,0.298,0.024,42,20,129,100,commercial,1200,45,Ground,0.559
92d0a575-4f0b-4327-86bd-ebfcc9d4b85c,12.9881567,77.6226,"St. John's Church Cemetery Road, Kalahalli, Halasuru, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",Bengaluru,Karnataka,560008.0,Urban,Ulsoor Lake Park,0,0,1.347,1.413,0.071,15,7,49,300,commercial,1200,45,Ground,0.543
f058f893-5aff-4489-a832-81a58dcfa95d,12.9881567,77.6226,"St. John's Church Cemetery Road, Kalahalli, Halasuru, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",Bengaluru,Karnataka,560008.0,Urban,Ulsoor Lake Park,0,0,1.347,1.413,0.071,15,7,49,300,commercial,1200,45,Ground,0.543
db3fb375-54d6-48c6-ba3d-7e2ccb2a7fb4,12.9881567,77.6226,"St. John's Church Cemetery Road, Kalahalli, Halasuru, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",Bengaluru,Karnataka,560008.0,Urban,Ulsoor Lake Park,0,0,1.347,1.413,0.071,15,7,49,300,commercial,1200,45,Ground,0.543
6bb8bf0a-0603-4e8d-91a0-e6920fbc726f,12.9881567,77.6226,"St. John's Church Cemetery Road, Kalahalli, Halasuru, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",Bengaluru,Karnataka,560008.0,Urban,Ulsoor Lake Park,0,0,1.347,1.413,0.071,15,7,49,300,commercial,1200,45,Ground,0.543
f79073cd-45d0-46f8-98b2-3349492f7ed8,12.9881567,77.6226,"St. John's Church Cemetery Road, Kalahalli, Halasuru, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",Bengaluru,Karnataka,560008.0,Urban,Ulsoor Lake Park,0,0,1.347,1.413,0.071,15,7,49,300,commercial,1200,45,Ground,0.543
5ba7d34a-ce9a-40cd-88e7-a44c5e87d54d,12.9881567,77.6226,"St. John's Church Cemetery Road, Kalahalli, Halasuru, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",Bengaluru,Karnataka,560008.0,Urban,Ulsoor Lake Park,0,0,1.347,1.413,0.071,15,7,49,300,commercial,1200,45,Ground,0.543
